cum_deposited_eth,cum_validators,deposited_eth,depositor_entity_category,time
850672,26583.5,109946,Liquid Restaking,2024-02-12 00:00:00
945152,29536.0,94480,Liquid Restaking,2024-02-19 00:00:00
1034848,32339.0,89696,Liquid Restaking,2024-02-26 00:00:00
1111968,34749.0,77120,Liquid Restaking,2024-03-04 00:00:00
1270599,39706.21875,158631,Liquid Restaking,2024-03-11 00:00:00
1506208,47069.0,235609,Liquid Restaking,2024-03-18 00:00:00
1890127,59066.46875,383919,Liquid Restaking,2024-03-25 00:00:00
2151252,67226.625,261125,Liquid Restaking,2024-04-01 00:00:00
2452752,76648.5,301500,Liquid Restaking,2024-04-08 00:00:00
2564364,80136.375,111612,Liquid Restaking,2024-04-15 00:00:00
2681888,83809.0,117524,Liquid Restaking,2024-04-22 00:00:00
2686289,83946.53125,4401,Liquid Restaking,2024-04-29 00:00:00
2724608,85144.0,38319,Liquid Restaking,2024-05-06 00:00:00
2769920,86560.0,45312,Liquid Restaking,2024-05-13 00:00:00
2788064,87127.0,18144,Liquid Restaking,2024-05-20 00:00:00
2943209,91975.28125,155145,Liquid Restaking,2024-05-27 00:00:00
3093514,96672.3125,150305,Liquid Restaking,2024-06-03 00:00:00
3232044,101001.375,138530,Liquid Restaking,2024-06-10 00:00:00
3293212,102912.875,61168,Liquid Restaking,2024-06-17 00:00:00
3337952,104311.0,44740,Liquid Restaking,2024-06-24 00:00:00
3386816,105838.0,48864,Liquid Restaking,2024-07-01 00:00:00
3426912,107091.0,40096,Liquid Restaking,2024-07-08 00:00:00
3666176,114568.0,239264,Liquid Restaking,2024-07-15 00:00:00
3719528,116235.25,53352,Liquid Restaking,2024-07-22 00:00:00
3792864,118527.0,73336,Liquid Restaking,2024-07-29 00:00:00
3802432,118826.0,9568,Liquid Restaking,2024-08-05 00:00:00
3819328,119354.0,16896,Liquid Restaking,2024-08-12 00:00:00
3846304,120197.0,26976,Liquid Restaking,2024-08-19 00:00:00
3889056,121533.0,42752,Liquid Restaking,2024-08-26 00:00:00
3919744,122492.0,30688,Liquid Restaking,2024-09-02 00:00:00
3940160,123130.0,20416,Liquid Restaking,2024-09-09 00:00:00
3952224,123507.0,12064,Liquid Restaking,2024-09-16 00:00:00
3959520,123735.0,7296,Liquid Restaking,2024-09-23 00:00:00
4042528,126329.0,83008,Liquid Restaking,2024-09-30 00:00:00
4051072,126596.0,8544,Liquid Restaking,2024-10-07 00:00:00
4051328,126604.0,256,Liquid Restaking,2024-10-14 00:00:00
4079136,127473.0,27808,Liquid Restaking,2024-10-21 00:00:00
4080032,127501.0,896,Liquid Restaking,2024-10-28 00:00:00
207618,6488.0625,0,Solo Stakers,2024-10-28 00:00:00
207618,6488.0625,32,Solo Stakers,2024-10-21 00:00:00
207586,6487.0625,0,Solo Stakers,2024-10-14 00:00:00
207586,6487.0625,32,Solo Stakers,2024-10-07 00:00:00
207554,6486.0625,32,Solo Stakers,2024-09-30 00:00:00
